Sentence,Original emoji,output emoji
IM AT 620 SINCE WHEN?!?! /pos,"[':backhand_index_pointing_right:', ':alarm_clock:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Y’all hoes fake and then want come be friendly gtf,"[':waving_hand:', ':pouting_face:', ':thinking_face:', ':alarm_clock:']", 😍 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Fox News: OMG look at all those unvaccinated brown people.   Me: 🤯,"[':thinking_face:', ':backhand_index_pointing_right:', ':syringe:', ':person_facepalming:']", 😍 😴 🌞 😴 🌞 😴 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Summer jam finna smack,[':face_vomiting:'], 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Cleaning the kitchen then having to use it is highly annoying,"[':cross_mark:', ':pile_of_poo:', ':crying_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Ou idk actually 😭,"[':cross_mark:', ':thinking_face:']", 👉 🥰 🌞 👉 🥰 👉 🥰 👉 🥰 👉 🥰 👉 🥰 👉 🥰 💬 🙏 👉 🥰
My og like that’s dead,"[':persevering_face:', ':skull:']", 😍 🥰 😍 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Please don't do this to your children!,"[':cross_mark:', ':backhand_index_pointing_right:', ':man:', ':woman:', ':boy:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I needed this sleep,"[':backhand_index_pointing_right:', ':sleeping_face:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
This nigga sitting across from me don’t even know how bad I wanna ...Fuck it 🤣🤣🤣🤣,"[':woman:', ':backhand_index_pointing_right:', ':thumbs_up:', ':man:', ':person_facepalming:']", 😍 😴 🌞 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
T.G.I. Friday’s is camp,"[':thumbs_up:', ':church:', ':cooking:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Happening already,[':person_running:'], 😍 🥰 😍 👉 👉 👉 👉 👉 👉 👉 👉 👉 👋 😍 👉 👉 👋 😍 🥰
"im gonna try and make a carrd, wish me luck 🙏","[':backhand_index_pointing_right:', ':folded_hands:']", 😍 😴 👉 👉 👉 👉 👉 👉 👉 🙏 😴 😴 😴 😴 😴 😴 😴 😴 😴
mishuuuu,"[':red_heart:', ':backhand_index_pointing_right:']", 😍 😴 😍 🌞 🌞 🌞 😴 🌞 😴 😴 🌞 😴 😴 🌞 😴 😴 😴 😴 😴
living with me is randomly hearing me making zombie noises from call of duty,"[':video_game:', ':speech_balloon:', ':skull:', ':thumbs_down:']", 😍 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
how about.... just stop shipping real people 😭,"[':cross_mark:', ':money_bag:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Once you get used to the luxurious lifestyle there is no going back.,"[':backhand_index_pointing_right:', ':money_bag:', ':cross_mark:', ':backhand_index_pointing_right:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
fucked up my grammar what am i saying,"[':cross_mark:', ':speech_balloon:', ':man:', ':backhand_index_pointing_right:', ':speech_balloon:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"When ethereum is 20k and Evols floor is 100eth you will think, damn. I should have listened to denzuul.","[':backhand_index_pointing_right:', ':cross_mark:', ':money_bag:', ':thumbs_up:', ':speech_balloon:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I can't think of something else bc I'm tired but that one dynamite dance video sent through the roof,"[':thinking_face:', ':thumbs_up:', ':person_running:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I understand,[':OK_hand:'], 😍 😴 👉 👉 👉 👉 👉 👉 👉 😍 😴 😍 😴 😍 😴 😴 😴 😴 😴
closed,[':cross_mark:'], 😍 📱 😍 😍 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
They can’t risk him sayin some more country ass dumb shit 😂😂😂,"[':cross_mark:', ':speech_balloon:', ':pile_of_poo:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
his tattoos are really beautiful 😭,[':thumbs_up:'], 😍 😴 👉 👉 👋 👋 👉 🌞 😴 🌞 😴 👋 😴 👋 👋 😴 👋 👋 👋
everybody dies top 3 maybe,"[':man:', ':woman:', ':cross_mark:', ':speech_balloon:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
bg been real ghetto the past couple days😭😭😭,"[':pile_of_poo:', ':house:', ':calendar:']", 😍 😴 🌞 😴 👋 👉 👋 👋 😍 👋 😍 😍 😍 😍 😴 🌞 😴 🌞 😴
"US: ""Let's hope Colorado doesn't burn again like last year!""  Mother nature: ""wish granted""","[':backhand_index_pointing_right:', ':house:', ':fire:']", 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
My disappointment is immeasurable and my day is ruined,[':crying_face:'], 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Chase's Korean Name : Park byeon sim,[':person_facepalming:'], 😍 🥰 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
It be funny when mfs think they hurting you and ain’t🥴 mad ass.,"[':face_with_tears_of_joy:', ':thinking_face:', ':fire:', ':backhand_index_pointing_right:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Hits so close to home😭,"[':thinking_face:', ':backhand_index_pointing_right:', ':house:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i just want japan to win this pls :( love the team so much (and france too of course why is it at 2 am 🤠),"[':man:', ':thumbs_up:', ':folded_hands:']", 😍 😴 🌞 🌞 😴 👋 😴 😴 👋 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴
Emery is the 🐐 fam😂😂😂😂,"[':woman:', ':thumbs_up:', ':calendar:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 🌞 🌞 😴 😴 😴 🌞 🌞 😴 😴 😴
Every painter was rarely an artist.,"[':man:', ':cross_mark:', ':open_book:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Youngboy is objectively a top 10 rapper of all time and no one can't tell me otherwise,"[':man:', ':thumbs_up:', ':musical_note:', ':calendar:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
niggas be just as obsessed with celebrities don’t let em fool you..,"[':musical_note:', ':pouting_face:', ':man:', ':cross_mark:', ':speech_balloon:']", 😍 😴 🌞 👉 🌞 😴 🌞 😴 🌞 😴 😴 👋 😴 👋 😴 👋 😴 👋 😴
"Although, I may end up getting in the way instead-- as usual!","[':person_facepalming:', ':thumbs_down:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
omgggg ???? let’s goooo,"[':party_popper:', ':backhand_index_pointing_right:', ':person_running:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
imagine being single on national gf day LMAO,"[':thinking_face:', ':cross_mark:', ':woman:', ':person_facepalming:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I feel like I'm always just shouting into the void cause no algorithm deems me worthy enough to share my shit to anyone,"[':cross_mark:', ':speech_balloon:', ':backhand_index_pointing_right:', ':pile_of_poo:', ':man:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
This.,[':backhand_index_pointing_right:'], 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Happy 8k followers to you!. Avail her contents and VCs,"[':party_popper:', ':person_running:', ':backhand_index_pointing_right:', ':speech_balloon:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
GUY.exe,[':man:'], 😍 😴 😍 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Where are all the gay identifying Olympic quality swimmers and/or lifeguards who are currently single?  I am also single.  So uh...  👀 👉🏻👈🏻,"[':man:', ':red_heart:', ':man:', ':person_running:', ':sweat_droplets:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 👋 👋 😴 😴 😴 👋 😴 😴 😴 😴 😴
tr plushies have me ugly laughing 😭,"[':face_vomiting:', ':face_with_tears_of_joy:', ':crying_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 💬 😴 😴 😴 😴 😴 😴 😴 😴 😴
"I’m really the most dramatic person ever . I be cracking myself tf up cause it’s like second nature now , I don’t do it on purpose at all ☠️","[':thumbs_up:', ':man:', ':OK_hand:', ':cross_mark:', ':speech_balloon:']", 😍 😴 😍 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Mikel Arteta on Thomas Partey’s injury: ""I just had a talk with the doc. He'll have a scan tomorrow. At the moment it's not looking good.""","[':man:', ':speech_balloon:', ':briefcase:', ':backhand_index_pointing_right:', ':open_book:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Enzo is such a happy baby.. always smiling 💙 mommy’s boy 4L ✨,"[':man:', ':grinning_face_with_smiling_eyes:']", 😍 😴 🌞 👉 🥰 🌞 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰 🥰
I really need a day in between Sunday and Monday🥲,"[':backhand_index_pointing_right:', ':calendar:']", 😍 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
emma stone is a very entertaining white woman im kinda obsessed,"[':thumbs_up:', ':woman:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Y’all need y’all ass beat,"[':pouting_face:', ':backhand_index_pointing_right:', ':man:', ':woman:']", 😍 😴 🌞 🌞 😴 😴 😴 👋 😴 😴 👉 👉 👉 👉 👉 👉 👉 👉 👉
"If Partey is out long term, we’re gonna have a Xhaka-Elneny pivot vs Chelsea and Man City 😭😭😭","[':man:', ':cross_mark:', ':calendar:', ':eyes:', ':church:']", 😍 😴 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i need to catch up with tdj,"[':backhand_index_pointing_right:', ':person_running:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I can’t believe this is real,[':person_facepalming:'], 😍 😴 😴 👉 👉 😴 👉 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
so ppl still hawking godz in July rethink ur morals ✊🏿🤡,"[':party_popper:', ':calendar:', ':ghost:']", 😍 🌞 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I will drop $1k to play some blockchain games with P2E element  Shill me your favorite ones^^,"[':video_game:', ':speech_balloon:', ':red_heart:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
people who order sparkling water are pretentious,"[':red_heart:', ':sweat_droplets:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
This heart can’t take no more.,[':broken_heart:'], 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Death Counter 237,[':ghost:'], 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"As it turns out, closing schools and masking kids when adults have access to vaccines is BAD FOR KIDS!","[':cross_mark:', ':church:', ':person_facepalming:', ':thumbs_down:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I would acc be plotting to set you up for murder like gone girl or finding a way to shag ur dad each to their own,"[':skull:', ':woman:', ':backhand_index_pointing_right:', ':person_running:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
This the mf one.,"[':pouting_face:', ':backhand_index_pointing_right:']", 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
wait it’s almost been a year since quackity joined the dream smp right,"[':backhand_index_pointing_right:', ':calendar:', ':woman:', ':person_running:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
No one knows what you feel inside,"[':cross_mark:', ':thinking_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I’m in love.,"[':backhand_index_pointing_right:', ':red_heart:']", 😍 🥰 😴 😍 😴 😍 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"trying to talk abt genshin w friends who dont play and having to say ""water, ice, earth"" when referring to visions","[':speech_balloon:', ':sweat_droplets:', ':fire:', ':backhand_index_pointing_right:', ':eyes:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Dubai is making artificial rain, what’s your country making...?","[':church:', ':backhand_index_pointing_right:', ':mobile_phone:', ':sweat_droplets:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
No one can wreck a happy home except the ppl in it. 😎,"[':man:', ':woman:', ':boy:', ':red_heart:', ':house:', ':thumbs_up:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
i feel sorry for my parents because they have a child who is obsessed with billie eilish,"[':crying_face:', ':backhand_index_pointing_right:', ':man:', ':woman:', ':boy:', ':red_heart:', ':woman:']", 😍 😴 😍 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
My friends are so pretty like wow,"[':man:', ':speech_balloon:', ':party_popper:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
We supposed to be planning a trip they in this mf flaming😂😂😂,"[':man:', ':woman:', ':boy:', ':calendar:', ':person_running:']", 😍 😴 🌞 🌞 😴 😴 😴 💬 😴 💬 😴 💬 😴 💬 😴 💬 😴 💬 😴
Fake news!,"[':cross_mark:', ':speech_balloon:', ':pouting_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Love to see it 😍,"[':smiling_face_with_hearts:', ':eyes:', ':backhand_index_pointing_right:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"When you realize starfish eat sponges. Spongebob becomes a horror movie, with Patrick playing the long con.","[':thinking_face:', ':ghost:']", 😍 🥰 🌞 🌞 🌞 🥰 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I can't flirt so any men interested in me please make the first move. Like right now. I'm ready!! Maybe.   FEED ME AND TELL ME I'M PRETTY!,"[':cross_mark:', ':red_heart:', ':man:', ':waving_hand:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
There better not be any women working at the t mobile store today,"[':cross_mark:', ':woman:', ':briefcase:', ':church:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Already sunday evening. 😭 I want my weekend back!,"[':calendar:', ':backhand_index_pointing_right:', ':cross_mark:', ':alarm_clock:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Still availableeee🤗   Dye version C and D are SOLD❌,"[':thumbs_up:', ':backhand_index_pointing_right:', ':money_bag:']", 😍 😴 🌞 👉 🌞 🌞 🥰 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
anyways fuck park hye soo 🙏🙏 hope her new indie movie flops,"[':thinking_face:', ':pouting_face:', ':man:', ':folded_hands:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Are you the sun? Because I'm always looking for you,"[':backhand_index_pointing_right:', ':sun_with_face:', ':thinking_face:', ':eyes:', ':woman:']", 😍 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Ohhh that’s gross lmaoo,"[':face_vomiting:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"In that recent Vegas picture..lera needa keep them legs closed ,especially around corbyn😭","[':eyes:', ':church:', ':thumbs_up:', ':crying_face:']", 😍 😴 🌞 👉 🌞 😍 😴 🌞 😴 😴 👋 😴 😍 😍 😴 👋 😴 😴 😴
mylenium 💙 1989 🖤,[':red_heart:'], 😍 😴 🌞 🌞 🌞 🌞 😴 🌞 😴 🌞 🌞 🌞 😴 🌞 😴 🌞 🌞 🌞 😴
i just farted,[':face_vomiting:'], 😍 😴 👉 👉 💬 😴 
//Gonna start making people call me Conner and not Dariana 😊,"[':red_heart:', ':man:', ':party_popper:']", 😍 😴 🌞 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Why Do I know these videos by heart 😂,"[':briefcase:', ':backhand_index_pointing_right:', ':red_heart:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"If you’re dirty, just say that.","[':backhand_index_pointing_right:', ':face_vomiting:', ':speech_balloon:']", 😍 🥰 👉 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Madam Sakura, not to speak out of position, but...  /Please/ behave yourself.","[':woman:', ':speech_balloon:', ':folded_hands:']", 😍 😴 🌞 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Hey are you my assignment that is due? Pannanum thonudu, ana innum panna mudila😌","[':backhand_index_pointing_right:', ':open_book:', ':calendar:', ':woman:']", 😍 😴 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Native 4K at 120 fps… jesusssss 🔥🔥🔥🔥🔥,"[':thumbs_up:', ':mobile_phone:', ':fire:']", 😍 😴 🌞 🌞 🌞 😴 😴 😴 🌞 😴 😴 😴 🌞 😴 😴 😴 😴 😴 😴
I'll be realistic and write my own ideas: The biggest reason Afghanistan is in this situation is the U.S.,"[':thinking_face:', ':backhand_index_pointing_right:', ':fire:']", 😍 😴 🌞 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I created a monster 🤦🏻‍♀️,"[':backhand_index_pointing_right:', ':ghost:', ':person_facepalming:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Boomer hiring managers pay exorbitant fees to access premium features.,"[':backhand_index_pointing_right:', ':man:', ':briefcase:', ':thinking_face:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Does anyone trade with interactive brokers? And what’s been your experience?,"[':thinking_face:', ':money_bag:', ':man:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"WE ARE FAMILY WITH 2 DIFFERENT LANGUAGE,FIRST ADMIN WILL TALK IN WITH ENGLISH AND SECOND ADMIN WILL TALK WITH INDONESIAN LANGUAGE. ^^","[':man:', ':woman:', ':boy:']", 😍 😴 🌞 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴
Poor Leadership.,"[':thumbs_down:', ':briefcase:', ':man:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
* YOU'LL BE INCINERATED BY THESE JETS OF FIRE!!,"[':backhand_index_pointing_right:', ':fire:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
😴😴😴.... I hate coffee but I had some this morning and still nothing. I feel exhausted today. 😣,"[':persevering_face:', ':sweat_droplets:', ':backhand_index_pointing_right:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
That's your dream? Aim higher babe,"[':thinking_face:', ':thumbs_up:', ':smiling_face_with_hearts:']", 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Just be proud of yourself &amp; see good things &amp; hear good things. Hope you never sad. troyesivan,"[':backhand_index_pointing_right:', ':party_popper:', ':thumbs_up:']", 😍 😴 🌞 🌞 🌞 🌞 🌞 😴 😴 😴 👋 👋 😴 😴 😴 😴 😴 😴 😴
Totally argee on this..,[':thumbs_up:'], 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
WHAT A RACEEE 🔥🔥🔥,"[':thumbs_up:', ':person_running:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Proper December vibes.,"[':thumbs_down:', ':calendar:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Bruh. I’m ready for Jay to wake up and FaceTime me. I miss him 🥺😭,"[':eyes:', ':man:', ':mobile_phone:', ':red_heart:']", 😍 🥰 🌞 🌞 😴 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
I agree.,[':thumbs_up:'], 😍 😴 😍 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
That engagement shit a facade . Hit my joint on Twitter and asked her if she really getting married she said   nah probably not,"[':pouting_face:', ':face_vomiting:', ':pile_of_poo:', ':thumbs_down:']", 😍 😴 🌞 🌞 🌞 👋 👋 😴 👋 👋 😴 👋 👋 👋 😍 😍 👋 😍 😴
She’s likely never dealt with basically a hermit before 💢,"[':woman:', ':cross_mark:', ':pouting_face:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
dude i am deadass thinking of going to a community college for art music or writing,"[':thumbs_down:', ':thinking_face:', ':church:', ':open_book:']", 😍 😴 🌞 🌞 🌞 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
someone wish this man happy birthday,"[':folded_hands:', ':man:', ':party_popper:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
If I go home for Christmas I might just stay here for my bday then idk I have six months to figure it out,"[':backhand_index_pointing_right:', ':house:', ':calendar:', ':person_facepalming:']", 😍 😴 🌞 😴 🌞 😴 😴 👋 😴 😴 😴 👋 😴 😴 😴 👋 😴 😴 😴
Worth a look!,"[':thumbs_up:', ':eyes:']", 😍 😴 👉 👉 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
follow her or else😤,"[':person_running:', ':woman:']", 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
You can get into trouble for all kinds of unexpected things these days.,"[':backhand_index_pointing_right:', ':pile_of_poo:', ':calendar:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
My family spoils my daughter so much and girl ain’t even here yet 😭,"[':man:', ':woman:', ':boy:', ':smiling_face_with_hearts:', ':woman:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Do y’all understand how fast whoever made the meme of this had to be to catch it at this perfect moment 😂😂😂,"[':thinking_face:', ':face_with_tears_of_joy:']", 😍 😴 🌞 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
SOLAR POWER MONTH OMFG🌞🌞🌞🌞,"[':sun_with_face:', ':fire:', ':face_with_tears_of_joy:']", 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
im fucking bored,"[':face_vomiting:', ':persevering_face:', ':sleeping_face:']", 😍 😴 😍 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
Today is going to be a 2hr long episode 💉💉💉💉💉💉💉💉,"[':sleeping_face:', ':syringe:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
WHITe BOY TRY TO SELL ME VLONE LIL BOY LEAVE ME ALONE,[':pouting_face:'], 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
fighting the urge to text all my friends happy national gf day,"[':person_running:', ':party_popper:', ':smiling_face_with_hearts:']", 😍 😴 🌞 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Anyway, what do you want? You want to challenge me or something? …I hate to say it, but I'm not in the mood for a battle now.","[':pouting_face:', ':cross_mark:']", 😍 😴 🌞 👋 😴 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
what’s going on 😟😟,"[':thinking_face:', ':crying_face:']", 😍 😴 👉 👉 👉 👉 👉 👋 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴 🌞 😴
Fuck man everything hurts,"[':broken_heart:', ':crying_face:']", 😍 😴 🌞 😴 🌞 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
"Don't forget that my heart once yours and your place will never be replaced but in this lifetime, our story doesn't meant to last.","[':red_heart:', ':smiling_face_with_hearts:', ':smiling_face_with_heart-eyes:']", 😍 😴 🌞 😴 🌞 😴 👋 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴 😴
